"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
4,1,"Via Silvestro Centofanti","tertiary",0,"43.7189284,10.4122208","43.7200957,10.4118406",135.941,135,26,19,"evening"
5,2,"Via Giuseppe Garibaldi","tertiary",0,"43.7183882,10.4185568","43.7155623,10.4126274",581.647,580,35,60,"evening"
6,3,"Via Pietro Nenni","secondary",0,"43.7149728,10.4214977","43.7114958,10.4206545",392.253,393,31,46,"evening"
7,4,"Via Pietro Nenni","secondary",0,"43.7110589,10.420667","43.7149592,10.4216014",439.854,435,20,80,"evening"
8,5,"Via Vittorio Veneto","secondary",0,"43.7241501,10.4085276","43.7201804,10.4116774",534.985,532,26,73,"evening"
9,6,"Largo Concetto Marchesi","residential",0,"43.7147767,10.4154706","43.7150268,10.4185764",255.747,251,30,30,"evening"
10,7,"Lungarno Bruno Buozzi","tertiary",0,"43.7139021,10.4085214","43.7129728,10.4094426",129.87,130,26,18,"evening"
12,9,"Via Lucchese","tertiary",0,"43.7248799,10.4086442","43.7256677,10.4040832",381.417,382,36,38,"evening"
13,10,"Via Alessandro Volpi","secondary",0,"43.7194316,10.4203089","43.7205039,10.4215927",158.606,159,32,18,"evening"
17,14,"Via Gino Luzzato","secondary_dual_lane",0,"43.7185349,10.4195966","43.7149728,10.4214977",468.418,469,30,56,"evening"
18,15,"Via Gino Luzzato","secondary_dual_lane",0,"43.7149592,10.4216014","43.7189215,10.4201363",485.202,484,37,47,"evening"
29,26,"Via Filippo Buonarroti","tertiary",0,"43.719991,10.4073511","43.7227183,10.406856",313.618,315,28,40,"evening"
38,35,"Via San Giovanni Bosco","tertiary",0,"43.7187854,10.4104574","43.7189213,10.4192172",736.227,737,31,85,"evening"
